incident_id,trace,priority
INC0000045,[S]N;[M]A;[S]R;[L]R;[S]C;,3 - Moderate
INC0000047,[S]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000057,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000060,[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000062,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000063,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000064,[S]N;[L]N;[S]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000065,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]W;[S]R;[S]C;,3 - Moderate
INC0000066,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000067,[S]N;[L]N;[L]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000070,[S]N;[S]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000071,[S]N;[L]N;[M]A;[L]N;[L]N;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000073,[M]N;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000074,[M]N;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000076,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000077,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000079,[L]N;[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000080,[S]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000083,[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,4 - Low
INC0000084,[M]N;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000085,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000086,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000087,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000088,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000089,[M]N;[L]A;[L]A;[L]A;[S]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000092,[M]N;[S]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000093,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000094,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000098,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000099,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000100,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000101,[L]N;[S]N;[L]A;[L]A;[S]A;[S]R;[S]C;,4 - Low
INC0000102,[S]N;[L]N;[L]W;[L]W;[L]W;[L]W;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[L]W;[L]W;[L]W;[L]R;[L]A;[S]R;[S]C;,3 - Moderate
INC0000103,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
