incident_id,alignment,fitness,missing,repetition,mismatch,totMissing,totRepetition,totMismatch,costMissing,costRepetition,costMismatch,costTotal,severity
INC0000045,[S]N;[M]A;[S]R;[L]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 1, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.05,0.0,0.0995,low
INC0000047,[S]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]W;[S]R;[S]C;,0.6153846153846154,"{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 4, 'W': 1, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",0,5,0,0.0,0.13333333333333333,0.0,0.04533333333333334,low
INC0000057,[L]N;[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,0.5454545454545454,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 4, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,4,1,0.25,0.14285714285714285,0.049999999999999996,0.14757142857142858,low
INC0000060,[S]N;[S]A;[S]R;[S]C;,1.0,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,0,0,0.0,0.0,0.0,0.0,none
INC0000062,[L]N;[L]N;[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,0.5,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 5, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,5,1,0.25,0.15625,0.04375,0.1500625,low
INC0000063,[L]N;[L]N;[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,0.5,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 5, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,5,1,0.25,0.15625,0.04375,0.1500625,low
INC0000064,[S]N;[L]N;[L]A;[L]A;[S]A;[L]A;[L]A;[S]R;[S]C;,0.6153846153846154,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 4, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,5,0,0.0,0.1388888888888889,0.0,0.04722222222222223,low
INC0000065,[L]N;[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]W;[S]R;[S]C;,0.3529411764705882,"{'N': 0, 'A': 1, 'W': 0, 'R': 0, 'C': 0}","{'N': 9, 'A': 0, 'W': 1, 'R': 0, 'C': 0}","{'N': 0, 'A': 1, 'W': 0, 'R': 0, 'C': 0}",1,10,1,0.25,0.18846153846153846,0.026923076923076925,0.15546153846153848,low
INC0000066,[S]N;[L]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low
INC0000067,[L]N;[S]N;[L]N;[L]A;[S]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,0.5333333333333333,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 2, 'A': 5, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,7,0,0.0,0.1590909090909091,0.0,0.05409090909090909,low
INC0000070,[S]N;[S]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,0.6666666666666667,"{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 1, 'W': 3, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",0,4,0,0.0,0.10625000000000001,0.0,0.036125000000000004,low
INC0000071,[L]N;[L]N;[L]N;[S]N;[L]W;[M]A;[L]W;[S]R;[S]C;,0.5,"{'N': 0, 'W': 0, 'A': 1, 'R': 0, 'C': 0}","{'N': 3, 'W': 2, 'A': 0, 'R': 0, 'C': 0}","{'N': 0, 'W': 0, 'A': 0, 'R': 0, 'C': 0}",1,5,0,0.25,0.14375,0.0,0.13137500000000002,low
INC0000073,[M]N;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,0.6,"{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 3, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,3,0,0.25,0.125,0.0,0.125,low
INC0000074,[M]N;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,0.6,"{'N': 1, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 3, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",1,3,0,0.25,0.1,0.0,0.1165,low
INC0000076,[S]N;[M]A;[S]R;[S]C;,0.8571428571428572,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,0,0,0.25,0.0,0.0,0.0825,low
INC0000077,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,0.6,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 3, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,3,1,0.25,0.125,0.05833333333333333,0.14425,low
INC0000079,[S]N;[L]N;[S]A;[S]R;[S]C;,0.8888888888888888,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,1,0,0.0,0.05,0.0,0.017,low
INC0000080,[S]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]R;[S]C;,0.6666666666666667,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 4, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,4,0,0.0,0.125,0.0,0.0425,low
INC0000083,[L]N;[L]N;[S]N;[M]A;[S]R;[S]C;,0.6666666666666667,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 2, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,2,0,0.25,0.1,0.0,0.1165,low
INC0000084,[M]N;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,0.6,"{'N': 1, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 3, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",1,3,0,0.25,0.1,0.0,0.1165,low
INC0000085,[S]N;[L]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low
INC0000086,[L]N;[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,0.46153846153846156,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 6, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,6,1,0.25,0.16666666666666666,0.03888888888888888,0.152,low
INC0000087,[S]N;[L]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low
INC0000088,[S]N;[M]A;[S]R;[S]C;,0.8571428571428572,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,0,0,0.25,0.0,0.0,0.0825,low
INC0000089,[M]N;[L]A;[L]A;[L]A;[L]A;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,0.4285714285714286,"{'N': 1, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 4, 'W': 3, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",1,7,0,0.25,0.16,0.0,0.13690000000000002,low
INC0000092,[M]N;[S]A;[L]A;[L]A;[S]R;[S]C;,0.6666666666666667,"{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 2, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,2,0,0.25,0.1,0.0,0.1165,low
